,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage,reportTime
65,2008-03-31,2008-04-23,0.0425,0.0375,0.005,13.3333,post-market
66,2007-12-31,2008-01-22,0.06,0.06,0,0,pre-market
67,2007-09-30,2007-10-22,0.04,0.03,0.01,33.3333,pre-market
68,2007-06-30,2007-07-25,0.03,0.03,0,0,pre-market
69,2007-03-31,2007-04-25,0.03,0.02,0.01,50,pre-market
70,2006-12-31,2007-01-17,0.04,0.03,0.01,33.3333,pre-market
71,2006-09-30,2006-10-18,0.02,0.02,0,0,pre-market
72,2006-06-30,2006-07-19,0.02,0.02,0,0,pre-market
73,2006-03-31,2006-04-19,0.02,0.02,0,0,pre-market
74,2005-12-31,2006-01-18,0.02,0.02,0,0,pre-market
75,2005-09-30,2005-10-11,0.01,0.01,0,0,pre-market
76,2005-06-30,2005-07-13,0.01,0.01,0,0,pre-market
77,2005-03-31,2005-04-13,0.01,0.01,0,0,pre-market
78,2004-12-31,2005-01-12,0.01,0.01,0,0,pre-market
79,2004-09-30,2004-10-13,0.02,0.01,0.01,100,pre-market
80,2004-06-30,2004-07-14,0.01,0.01,0,0,pre-market
81,2004-03-31,2004-04-14,0.01,0.01,0,0,pre-market
82,2003-12-31,2004-01-14,0.01,0.01,0,0,pre-market
83,2003-09-30,2003-10-15,0.01,None,None,None,pre-market
84,2003-06-30,2003-07-16,0.0009,None,None,None,pre-market
85,2003-03-31,2003-04-16,0.0007,None,None,None,pre-market
86,2002-12-31,2003-01-15,-0.0004,None,None,None,pre-market
87,2002-09-30,2002-10-16,-0.0022,None,None,None,pre-market
88,2002-06-30,2002-07-16,0.01,0.01,0,0,pre-market
89,2002-03-31,2002-04-18,0.002,None,None,None,pre-market
90,2001-12-31,2002-01-16,0.01,0.01,0,0,pre-market
91,2001-09-30,2001-10-18,0.0034,None,None,None,pre-market
92,2001-06-30,2001-07-18,0.003,None,None,None,pre-market
93,2001-03-31,2001-04-18,0.01,None,None,None,pre-market
94,2000-12-31,2000-12-31,-0.0097,None,None,None,pre-market
95,2000-09-30,2000-10-18,0.01,0.01,0,0,pre-market
96,2000-06-30,2000-07-18,0.01,0.01,0,0,pre-market
97,2000-03-31,2000-04-19,0.01,0.01,0,0,pre-market
98,1999-12-31,2000-01-19,0.01,0.01,0,0,pre-market
99,1999-09-30,1999-10-13,0.02,0.02,0,0,pre-market
100,1999-06-30,1999-07-14,0.01,0.01,0,0,pre-market
101,1999-03-31,1999-04-14,0.01,0.01,0,0,pre-market
102,1998-12-31,1999-01-13,0.01,0.01,0,0,pre-market
103,1998-09-30,1998-10-14,0.01,0.02,-0.01,-50,pre-market
104,1998-06-30,1998-07-15,0.01,0.01,0,0,pre-market
105,1998-03-31,1998-04-15,0.01,0.01,0,0,pre-market
106,1997-12-31,1998-01-14,0.01,0.01,0,0,pre-market
107,1997-09-30,1997-10-15,-0.0114,None,None,None,pre-market
108,1997-06-30,1997-07-16,-0.02,-0.02,0,0,pre-market
109,1997-03-31,1997-04-16,-0.05,-0.04,-0.01,-25,pre-market
110,1996-12-31,1997-01-15,-0.03,-0.02,-0.01,-50,pre-market
111,1996-09-30,1996-10-16,0.0018,-0.01,0.0118,118,pre-market
112,1996-06-30,1996-07-17,-0.02,-0.04,0.02,50,pre-market
113,1996-03-31,1996-04-17,-0.07,-0.05,-0.02,-40,pre-market
